E,Ne,dNe
1500,1.31,0.8
1600,1.22,0.8
1700,1.14,0.8
1800,1.06,0.8
1900,0.984,0.8
2000,0.911,0.8
2100,0.843,0.8
2200,0.78,0.8
2300,0.723,0.8
2400,0.667,0.8
2500,0.619,0.8
2600,0.572,0.8
2700,0.526,0.8
2800,0.483,0.8
2900,0.443,0.8
3000,0.406,0.8
3100,0.371,0.8
3200,0.337,0.8
3300,0.307,0.8
3400,0.279,0.8
3500,0.252,0.8
3600,0.228,0.8
3700,0.206,0.8
3800,0.186,0.8
3900,0.167,0.8
4000,0.149,1
4100,0.133,1
4200,0.118,1
4300,0.106,1
4400,0.094,1
4500,0.0841,1
4600,0.0755,1
4700,0.0675,1
4800,0.0602,1
4900,0.0536,1
5000,0.0473,1.6
5100,0.042,1.6
5200,0.037,1.6
5300,0.0326,1.6
5400,0.0286,1.6
5500,0.025,1.6
5600,0.0218,1.6
5700,0.0189,1.6
5800,0.0165,1.6
5900,0.0143,1.6
6000,0.0124,2.5
6100,0.0108,2.5
6200,0.00939,2.5
6300,0.00818,2.5
6400,0.00706,2.5
6500,0.00599,2.5
6600,0.00507,2.5
6700,0.00424,2.5
6800,0.00354,2.5
6900,0.0029,2.5
7000,0.00234,4.4
7100,0.00192,4.4
7200,0.00159,4.4
7300,0.00128,4.4
7400,0.00105,4.4
7500,0.000826,5
7600,0.00067,5
7700,0.000515,5
7800,0.000404,5
7900,0.000295,5
8000,0.000232,9
8100,0.000168,9
8200,0.000134,9
8300,0.000103,9
8400,0.0000702,9
8500,0.0000559,18
8600,0.0000423,18
8700,0.000029,18
8800,0.0000168,18
8900,0.0000116,18
9000,0.0000629,73
