Days,U235,U238,Pu239,Pu241
0,1.31E+19,7.79E+17,3.69E-15,3.64E-15
0.1,1.31E+19,7.80E+17,1.75E+13,0
2,1.30E+19,8.02E+17,8.94E+15,0
20,1.27E+19,8.05E+17,3.04E+17,1.75E+14
100,1.16E+19,7.96E+17,1.41E+18,1.82E+16
200,1.04E+19,8.11E+17,2.38E+18,9.83E+16
300,9.50E+18,8.29E+17,3.11E+18,2.32E+17
400,8.68E+18,8.56E+17,3.68E+18,4.03E+17
600,7.20E+18,9.11E+17,4.63E+18,8.21E+17
800,5.84E+18,9.72E+17,5.39E+18,1.28E+18
1000,4.58E+18,1.04E+18,6.06E+18,1.75E+18
1200,3.41E+18,1.10E+18,6.66E+18,2.19E+18
1400,2.38E+18,1.16E+18,7.20E+18,2.57E+18
1600,1.54E+18,1.21E+18,7.62E+18,2.88E+18
